action_id,immediate_cost,delayed_cost,trigger_condition,duration_turns,player_visible_surface,severity,reversible,linked_systems,rule_source,notes
D1.ProxyAction.Standard,"AP-1;Arms-2;GoldLeaf-20","BlockadePressure+15;AshWill-5 on fail","On action resolve",2,"MilitaryPanel;ActionLog;ConsequencePanel",Medium,Yes,"D1->B2->J","eventideage-unified-gdd.md#5.4;d1-military-operations.md","baseline proxy action"
D1.ProxyAction.Heavy,"AP-2;Arms-4;GoldLeaf-30","BlockadePressure+20;AshWill-5 on fail","On action resolve",3,"MilitaryPanel;ActionLog;ConsequencePanel",High,Yes,"D1->B2->J","eventideage-unified-gdd.md#5.4;d1-military-operations.md","higher impact proxy variant"
D1.SpecialForces.Strike,"AP-2;Arms-3;GoldLeaf-30","SocialValue-3 on fail;BlockadePressure+20","On action resolve",1,"MilitaryPanel;ActionLog;ConsequencePanel",High,No,"D1->H1->B2->J","eventideage-unified-gdd.md#5.4;d1-military-operations.md","precision strike"
D1.SpecialForces.Intel,"AP-2;Arms-1;GoldLeaf-15","Low probability exposure risk","If intel operation fails",1,"MilitaryPanel;IntelPanel;ActionLog",Medium,Yes,"D1->F1->C1","eventideage-unified-gdd.md#5.4;d1-military-operations.md","fog-of-war reveal"
D1.ChokepointThreat.Start,"AP-2;Arms-1","RouteEfficiency-30%;BlockadePressure+40","On threat activation",2,"MilitaryPanel;MapPanel;EconomyPanel",High,Yes,"D1->B3->B2->J","eventideage-unified-gdd.md#5.4;d1-military-operations.md","start chokepoint pressure"
D1.ChokepointThreat.Escalate,"AP-1;Arms-1","Additional BlockadePressure+20","On escalation confirm",2,"MilitaryPanel;MapPanel;ConsequencePanel",High,Yes,"D1->B2->B3","eventideage-unified-gdd.md#5.4;d1-military-operations.md","stacked threat level"
D1.ChokepointThreat.Withdraw,"AP-0","BlockadePressure-15;RouteRisk decreases","On withdraw confirm",0,"MilitaryPanel;MapPanel;ConsequencePanel",Low,Yes,"D1->B2->B3","eventideage-unified-gdd.md#5.4;d1-military-operations.md","de-escalation action"
D1.AsymmetricDefense.Fortify,"AP-3;Arms-4","NodeStability+10;ControlPoints+30;SocialValue-5 on fail","On defense resolve",2,"MilitaryPanel;MapPanel;ActionLog",Medium,Yes,"D1->H1->J","eventideage-unified-gdd.md#5.4;d1-military-operations.md","defensive play"
D1.NuclearDeterrence.Display,"AP-4;AshWill-10;TributeOrder-15","Enemy TotalWar disabled for 1 turn;BlockadePressure-20","On display resolve",1,"MilitaryPanel;GlobalAlert;ConsequencePanel",Critical,No,"D1->D4->B2->G","eventideage-unified-gdd.md#5.4;d1-military-operations.md","global deterrence signal"
D1.TotalWar,"AP-5;Arms-8;GoldLeaf-60","SocialValue-20;AshWill-15;FullBlockadeRisk","On declaration",4,"MilitaryPanel;GlobalAlert;ConsequencePanel",Critical,No,"D1->D5->B2->J","eventideage-unified-gdd.md#5.4;d1-military-operations.md","extreme fallback option"
C2.CurrencySettlement.Sign,"AP-1;TributeOrder-10","Relationship+10~15;Trade channel unlock","On agreement signed",-1,"DiplomacyPanel;EconomyPanel;ActionLog",Medium,Yes,"C2->C1->B1","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","persistent while protocol valid"
C2.MilitaryCooperation.Sign,"AP-1;TributeOrder-15","Arms +1~3 per turn;Weapon price discount","On agreement signed",-1,"DiplomacyPanel;MilitaryPanel;ConsequencePanel",High,Yes,"C2->C1->D1","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","tiered progression"
C2.AxisCoordination.Sign,"AP-1;TributeOrder-8","Proxy coordination +20%","On agreement signed",-1,"DiplomacyPanel;MilitaryPanel;ActionLog",Medium,Yes,"C2->D1->C1","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","supports proxy gameplay"
C2.EnergyTransit.Sign,"AP-1;TributeOrder-10","Alternative route unlock;RouteEfficiency+15%","On agreement signed",5,"DiplomacyPanel;EconomyPanel;MapPanel",High,Yes,"C2->B3->B1","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","periodic renegotiation"
C2.NeutralityGuarantee.Sign,"AP-2;TributeOrder-20","Target attack efficiency -20% when intervention triggers","On agreement signed",10,"DiplomacyPanel;AlertPanel;ConsequencePanel",Medium,Yes,"C2->C1->D1","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","time-limited guarantee"
C2.DefensePact.Sign,"AP-2;TributeOrder-25","Allied aid +2~3 Arms per turn on attack","On agreement signed",-1,"DiplomacyPanel;MilitaryPanel;ConsequencePanel",High,No,"C2->D1->C1","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","deep commitment"
C2.Protocol.Renew,"AP-1;TributeOrder variable","Failure to renew enters unstable state","2 turns before expiration",5,"DiplomacyPanel;NotificationPanel",Medium,Yes,"C2->C1->B1/B3","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","renewal window management"
C2.Protocol.Breach,"AP-0","Relationship-20~-40;Re-sign cost x2;Narrative penalty","On breach detection",3,"DiplomacyPanel;EventPanel;ConsequencePanel",Critical,No,"C2->C1->I1->J","eventideage-unified-gdd.md#5.4;c2-diplomatic-protocols.md","usually system-triggered"
B2.EnergyEmbargo.Upgrade,"AP-0","ExportIncome coefficient down to embargo level","When blockade review approves",-1,"EconomyPanel;GlobalAlert",High,Yes,"B2->B1->J","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","AI/system action"
B2.FinancialBlockade.Upgrade,"AP-0","StarCurrency acquisition drops to blockade level","When blockade review approves",-1,"EconomyPanel;GlobalAlert",High,Yes,"B2->B1->J","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","AI/system action"
B2.SecondaryBlockade.Upgrade,"AP-0","Third-party routes lose stability","When blockade review approves",4,"EconomyPanel;DiplomacyPanel;GlobalAlert",High,Yes,"B2->B3->C1","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","targets partner channels"
B2.MilitaryEmbargo.Upgrade,"AP-0","Advanced weapon channels restricted","When blockade review approves",-1,"MilitaryPanel;GlobalAlert",High,Yes,"B2->D1->B1","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","affects procurement"
B2.NavalBlockade.Upgrade,"AP-0","Main sea route throughput to near zero","When choke threat crosses threshold",3,"MapPanel;EconomyPanel;GlobalAlert",Critical,Yes,"B2->B3->B1->J","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","highest pressure mode"
B2.Countermeasure.LandRoute,"AP-1;TradeToken-5","Partial export recovery via land routes","When sea route disrupted",3,"EconomyPanel;MapPanel;ActionLog",Medium,Yes,"B2->B3->B1","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","fallback logistics"
B2.Countermeasure.GreyMarket,"AP-1;GoldLeaf surcharge +40%","Exposure risk;future channel stability down","On each grey-market transaction",2,"EconomyPanel;NotificationPanel",High,No,"B2->B1->C1","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","expensive but resilient"
B2.Countermeasure.CurrencyBypass,"AP-1;TributeOrder-5","Temporary payment continuity;future sanctions pressure+","If bypass route accepted",2,"EconomyPanel;DiplomacyPanel;ConsequencePanel",High,Yes,"B2->B1->C2","eventideage-unified-gdd.md#5.4;b2-blockade-system.md","short-term relief"
